Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,Match id
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Colombo (RPS),29 Aug 2008,ODI # 2756
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),14 Sep 2009,ODI # 2889
3.0,0,21,0,7.00,4,1,ODI v Pakistan,Centurion,26 Sep 2009,ODI # 2898
DNB,-,-,-,-,-,1,ODI v Australia,Centurion,28 Sep 2009,ODI # 2901
DNB,-,-,-,-,-,1,ODI v West Indies,Johannesburg,30 Sep 2009,ODI # 2904
DNB,-,-,-,-,-,1,ODI v Australia,Vadodara,25 Oct 2009,ODI # 2913
DNB,-,-,-,-,-,1,ODI v Australia,Mohali,2 Nov 2009,ODI # 2919
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Eden Gardens,24 Dec 2009,ODI # 2935
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Delhi,27 Dec 2009,ODI # 2936
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
DNB,-,-,-,-,-,1,ODI v Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Mirpur,10 Jan 2010,ODI # 2941
DNB,-,-,-,-,-,1,ODI v Bangladesh,Mirpur,11 Jan 2010,ODI # 2942
1.4,0,12,0,7.20,3,2,ODI v Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
DNB,-,-,-,-,-,2,ODI v South Africa,Jaipur,21 Feb 2010,ODI # 2961
DNB,-,-,-,-,-,2,ODI v South Africa,Gwalior,24 Feb 2010,ODI # 2962
2.0,0,11,0,5.50,6,1,ODI v South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
DNB,-,-,-,-,-,2,ODI v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
DNB,-,-,-,-,-,2,ODI v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
DNB,-,-,-,-,-,1,T20I v Zimbabwe,Harare,12 Jun 2010,T20I # 182
DNB,-,-,-,-,-,1,T20I v Zimbabwe,Harare,13 Jun 2010,T20I # 183
DNB,-,-,-,-,-,1,ODI v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
DNB,-,-,-,-,-,1,ODI v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
DNB,-,-,-,-,-,2,ODI v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
3.0,0,16,0,5.33,5,2,ODI v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
DNB,-,-,-,-,-,2,ODI v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
DNB,-,-,-,-,-,1,ODI v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
DNB,-,-,-,-,-,1,ODI v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
DNB,-,-,-,-,-,2,ODI v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
DNB,-,-,-,-,-,1,ODI v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
DNB,-,-,-,-,-,1,ODI v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
DNB,-,-,-,-,-,1,ODI v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
DNB,-,-,-,-,-,1,ODI v New Zealand,Chennai,10 Dec 2010,ODI # 3077
DNB,-,-,-,-,-,2,T20I v South Africa,Durban,9 Jan 2011,T20I # 196
DNB,-,-,-,-,-,1,ODI v South Africa,Durban,12 Jan 2011,ODI # 3079
DNB,-,-,-,-,-,2,ODI v South Africa,Johannesburg,15 Jan 2011,ODI # 3080
DNB,-,-,-,-,-,1,ODI v South Africa,Cape Town,18 Jan 2011,ODI # 3082
DNB,-,-,-,-,-,1,ODI v South Africa,Gqeberha,21 Jan 2011,ODI # 3084
DNB,-,-,-,-,-,1,ODI v South Africa,Centurion,23 Jan 2011,ODI # 3087
DNB,-,-,-,-,-,2,ODI v Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
DNB,-,-,-,-,-,2,ODI v England,Bengaluru,27 Feb 2011,ODI # 3110
DNB,-,-,-,-,-,1,ODI v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
DNB,-,-,-,-,-,1,ODI v Netherlands,Delhi,9 Mar 2011,ODI # 3124
DNB,-,-,-,-,-,2,ODI v South Africa,Nagpur,12 Mar 2011,ODI # 3128
DNB,-,-,-,-,-,2,ODI v West Indies,Chennai,20 Mar 2011,ODI # 3141
1.0,0,6,0,6.00,7,1,ODI v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
DNB,-,-,-,-,-,2,ODI v Pakistan,Mohali,30 Mar 2011,ODI # 3147
1.0,0,6,0,6.00,7,1,ODI v Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
