Match ID,Start Date,Format,Inns,Pos,Runs,BF,4s,6s,SR,Mins,Dismissal,Opposition,Location
#2742,2008-08-18,ODI,1,2,12,22,1,0,54.54,33,lbw,Sri Lanka,Dambulla
#2745,2008-08-20,ODI,2,2,37,67,6,0,55.22,82,caught,Sri Lanka,Dambulla
#2750,2008-08-24,ODI,1,1,25,38,4,0,65.78,40,run out,Sri Lanka,Colombo
#2755,2008-08-27,ODI,1,1,54,66,7,0,81.81,87,bowled,Sri Lanka,Colombo
#2756,2008-08-29,ODI,2,1,31,46,3,1,67.39,45,lbw,Sri Lanka,Colombo
#2889,2009-09-14,ODI,1,7,2*,2,0,0,100.00,6,not out,Sri Lanka,Colombo
#2898,2009-09-26,ODI,2,4,16,24,1,0,66.66,28,caught,Pakistan,Centurion
#2901,2009-09-28,ODI,,,,,,,,,,Australia,Centurion
#2904,2009-09-30,ODI,2,4,79*,104,9,2,75.96,121,not out,West Indies,Johannesburg
#2913,2009-10-25,ODI,2,4,30,41,3,0,73.17,53,caught,Australia,Vadodara
#2919,2009-11-02,ODI,2,3,10,16,1,0,62.50,32,caught,Australia,Mohali
#2932,2009-12-15,ODI,1,7,27,19,4,0,142.10,20,bowled,Sri Lanka,Rajkot
#2933,2009-12-18,ODI,1,4,54,65,7,0,83.07,93,lbw,Sri Lanka,Nagpur
#2935,2009-12-24,ODI,2,4,107,114,11,1,93.85,,caught,Sri Lanka,Kolkata
#2936,2009-12-27,ODI,,,,,,,,,,Sri Lanka,Delhi
#2938,2010-01-05,ODI,1,3,9,12,1,0,75.00,19,caught,Sri Lanka,Mirpur
#2939,2010-01-07,ODI,2,3,91,102,7,0,89.21,136,caught,Bangladesh,Mirpur
#2941,2010-01-10,ODI,2,3,71*,68,9,0,104.41,98,not out,Sri Lanka,Mirpur
#2942,2010-01-11,ODI,2,3,102*,95,11,0,107.36,128,not out,Bangladesh,Mirpur
#2943,2010-01-13,ODI,1,3,2,8,0,0,25.00,6,caught,Sri Lanka,Mirpur
#2961,2010-02-21,ODI,1,5,31,46,1,0,67.39,,caught,South Africa,Jaipur
#2962,2010-02-24,ODI,1,,,,,,,,,South Africa,Gwalior
#2963,2010-02-27,ODI,2,3,57,71,4,1,80.28,,caught,South Africa,Ahmedabad
#2981,2010-05-28,ODI,1,3,0,0,0,0,,3,run out,Zimbabwe,Bulawayo
#2983,2010-05-30,ODI,2,3,82,92,4,0,89.13,125,caught,Sri Lanka,Bulawayo
#2986,2010-06-03,ODI,1,3,18,29,1,0,62.06,28,caught,Zimbabwe,Harare
#2988,2010-06-05,ODI,1,3,68,95,5,0,71.57,123,caught,Sri Lanka,Harare
#182,2010-06-12,T20I,2,5,26*,21,3,1,123.80,30,not out,Zimbabwe,Harare
#183,2010-06-13,T20I,2,,,,,,,,,Zimbabwe,Harare
#2993,2010-06-16,ODI,2,3,11,22,0,0,50.00,35,stumped,Bangladesh,Dambulla
#2996,2010-06-19,ODI,2,3,18,27,1,0,66.66,31,bowled,Pakistan,Dambulla
#2999,2010-06-22,ODI,1,3,10,14,1,0,71.42,13,caught,Sri Lanka,Dambulla
#3001,2010-06-24,ODI,1,3,28,34,4,0,82.35,57,caught,Sri Lanka,Dambulla
#3032,2010-08-16,ODI,2,3,0,3,0,0,0.00,5,caught,Sri Lanka,Dambulla
#3039,2010-08-25,ODI,1,3,8,16,1,0,50.00,22,caught,New Zealand,Dambulla
#3040,2010-08-28,ODI,2,3,37,57,5,0,64.91,98,caught,Sri Lanka,Dambulla
#3060,2010-10-20,ODI,2,3,118,121,11,1,97.52,193,caught,Australia,Visakhapatnam
#3070,2010-11-28,ODI,1,3,105,104,10,0,100.96,162,caught,New Zealand,Guwahati
#3072,2010-12-01,ODI,2,3,64,73,8,0,87.67,78,caught,New Zealand,Jaipur
