Match ID,Start Date,Format,Inns,Pos,Overs,Mdns,Runs,Wkts,Econ,Opposition,Location
#2742,2008-08-18,ODI,2,,,,,,,Sri Lanka,Dambulla
#2745,2008-08-20,ODI,1,,,,,,,Sri Lanka,Dambulla
#2750,2008-08-24,ODI,2,,,,,,,Sri Lanka,Colombo
#2755,2008-08-27,ODI,2,,,,,,,Sri Lanka,Colombo
#2756,2008-08-29,ODI,1,,,,,,,Sri Lanka,Colombo
#2889,2009-09-14,ODI,2,,,,,,,Sri Lanka,Colombo
#2898,2009-09-26,ODI,1,4,3.0,0,21,0,7.00,Pakistan,Centurion
#2901,2009-09-28,ODI,1,,,,,,,Australia,Centurion
#2904,2009-09-30,ODI,1,,,,,,,West Indies,Johannesburg
#2913,2009-10-25,ODI,1,,,,,,,Australia,Vadodara
#2919,2009-11-02,ODI,1,,,,,,,Australia,Mohali
#2932,2009-12-15,ODI,2,,,,,,,Sri Lanka,Rajkot
#2933,2009-12-18,ODI,2,,,,,,,Sri Lanka,Nagpur
#2935,2009-12-24,ODI,1,,,,,,,Sri Lanka,Kolkata
#2936,2009-12-27,ODI,1,,,,,,,Sri Lanka,Delhi
#2938,2010-01-05,ODI,2,,,,,,,Sri Lanka,Mirpur
#2939,2010-01-07,ODI,1,,,,,,,Bangladesh,Mirpur
#2941,2010-01-10,ODI,1,,,,,,,Sri Lanka,Mirpur
#2942,2010-01-11,ODI,1,,,,,,,Bangladesh,Mirpur
#2943,2010-01-13,ODI,2,3,1.4,0,12,0,7.20,Sri Lanka,Mirpur
#2961,2010-02-21,ODI,2,,,,,,,South Africa,Jaipur
#2962,2010-02-24,ODI,2,,,,,,,South Africa,Gwalior
#2963,2010-02-27,ODI,1,6,2.0,0,11,0,5.50,South Africa,Ahmedabad
#2981,2010-05-28,ODI,2,,,,,,,Zimbabwe,Bulawayo
#2983,2010-05-30,ODI,1,,,,,,,Sri Lanka,Bulawayo
#2986,2010-06-03,ODI,2,,,,,,,Zimbabwe,Harare
#2988,2010-06-05,ODI,2,,,,,,,Sri Lanka,Harare
#182,2010-06-12,T20I,1,,,,,,,Zimbabwe,Harare
#183,2010-06-13,T20I,1,,,,,,,Zimbabwe,Harare
#2993,2010-06-16,ODI,1,,,,,,,Bangladesh,Dambulla
#2996,2010-06-19,ODI,1,,,,,,,Pakistan,Dambulla
#2999,2010-06-22,ODI,2,,,,,,,Sri Lanka,Dambulla
#3001,2010-06-24,ODI,2,5,3.0,0,16,0,5.33,Sri Lanka,Dambulla
#3032,2010-08-16,ODI,1,,,,,,,Sri Lanka,Dambulla
#3039,2010-08-25,ODI,2,,,,,,,New Zealand,Dambulla
#3040,2010-08-28,ODI,1,,,,,,,Sri Lanka,Dambulla
#3060,2010-10-20,ODI,1,,,,,,,Australia,Visakhapatnam
#3070,2010-11-28,ODI,2,,,,,,,New Zealand,Guwahati
#3072,2010-12-01,ODI,1,,,,,,,New Zealand,Jaipur
#3074,2010-12-04,ODI,1,,,,,,,New Zealand,Vadodara
#3076,2010-12-07,ODI,1,,,,,,,New Zealand,Bengaluru
#3077,2010-12-10,ODI,1,,,,,,,New Zealand,Chennai
#196,2011-01-09,T20I,2,,,,,,,South Africa,Durban
#3079,2011-01-12,ODI,1,,,,,,,South Africa,Durban
#3080,2011-01-15,ODI,2,,,,,,,South Africa,Johannesburg
#3082,2011-01-18,ODI,1,,,,,,,South Africa,Cape Town
#3084,2011-01-21,ODI,1,,,,,,,South Africa,Gqeberha
#3087,2011-01-23,ODI,1,,,,,,,South Africa,Centurion
#3100,2011-02-19,ODI,2,,,,,,,Bangladesh,Mirpur
#3110,2011-02-27,ODI,2,,,,,,,England,Bengaluru
#3121,2011-03-06,ODI,1,,,,,,,Ireland,Bengaluru
#3124,2011-03-09,ODI,1,,,,,,,Netherlands,Delhi
#3128,2011-03-12,ODI,2,,,,,,,South Africa,Nagpur
#3141,2011-03-20,ODI,2,,,,,,,West Indies,Chennai
#3143,2011-03-24,ODI,1,7,1.0,0,6,0,6.00,Australia,Ahmedabad
#3147,2011-03-30,ODI,2,,,,,,,Pakistan,Mohali
#3148,2011-04-02,ODI,1,7,1.0,0,6,0,6.00,Sri Lanka,Mumbai
#200,2011-06-04,T20I,2,,,,,,,West Indies,Port of Spain
#3159,2011-06-06,ODI,1,7,3.0,1,16,0,5.33,West Indies,Port of Spain
#3160,2011-06-08,ODI,1,,,,,,,West Indies,Port of Spain
